,nro_registro_interno,fecha_ingreso_denuncia,tema,subtema,referido_tipo,nacionalidad,provincia,localidad,genero,edad_aparente,embarazada,discapacidad,provincia_indec_id
136,7575754505,2020-02-07,Trata,Pornografía infantil,Acusado,Argentina,Neuquén,Neuquén,Hombre,No especifica,No,No,58.0
137,9484845505,2020-02-07,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,La Plata,Mujer,No especifica,No,No,6.0
138,1584845505,2020-02-07,Trata,Abuso sexual infantil,Acusado,Argentina,Santa Fe,Santo Tomé,Hombre,No especifica,No,No,82.0
139,1584845505,2020-02-07,Trata,Abuso sexual infantil,Acusado,Argentina,Santa Fe,Santo Tomé,Hombre,No especifica,No,No,82.0
145,4594845505,2020-02-09,Trata,Explotación sexual,Victima directa,Argentina,Santa Fe,Santa Fe,Mujer,59.0,No,No,82.0
146,4594845505,2020-02-09,Trata,Explotación sexual,Acusado,Argentina,Santa Fe,Santa Fe,Hombre,No especifica,No,No,82.0
151,4505845505,2020-02-11,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Mendoza,Palmira,Mujer,No especifica,No,No,50.0
152,4505845505,2020-02-11,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Mendoza,- Palmira,Hombre,33.0,No,No,50.0
156,4505845505,2020-02-11,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Mendoza,Palmira,Mujer,19.0,No,No,50.0
157,4505845505,2020-02-11,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Mendoza,Palmira,Mujer,17.0,No,No,50.0
160,2515845505,2020-02-12,Trata,Persona desaparecida,Victima indirecta - familiar,Paraguay,Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,No especifica,No,No,6.0
168,7535845505,2020-02-14,Trata,Explotación laboral,Victima directa,Argentina,Tucumán,San Miguel de Tucumán,Hombre,No especifica,No,No,90.0
169,7535845505,2020-02-14,Trata,Explotación laboral,Victima directa,Argentina,Tucumán,San Miguel de Tucumán,Hombre,No especifica,No,No,90.0
171,1545845505,2020-02-14,Trata,Explotación sexual,Victima directa,Argentina,Santa Fe,Santa Fe,Mujer,No especifica,No,No,82.0
172,1545845505,2020-02-14,Trata,Explotación sexual,Acusado,Argentina,Santa Fe,Santa Fe,Hombre,No especifica,No,No,82.0
174,3545845505,2020-02-15,Trata,Trata de personas,Acusado,Haiti,Buenos Aires,Villa Sarmiento,Mujer,35.0,No,No,6.0
175,3545845505,2020-02-15,Trata,Trata de personas,Acusado,Camerun,Buenos Aires,Villa Sarmiento,Hombre,35.0,No,No,6.0
180,2555845505,2020-02-16,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Luján,Mujer,24.0,No,No,6.0
181,2555845505,2020-02-16,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,Luján,Mujer,22.0,Si,No,6.0
185,2565845505,2020-02-18,Trata,Explotación sexual,Acusado,Sin descripcion,Buenos Aires,Temperley,Mujer,No especifica,No,No,6.0
186,7565845505,2020-02-18,Trata,Oferta laboral engañosa,Acusado,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,No especifica,No,No,6.0
190,1584945505,2020-02-20,Trata,"Explotación laboral niñas, niños y adolescentes",Acusado,Bolivia,Buenos Aires,La Tablada,Hombre,45.0,No,No,6.0
192,3584945505,2020-02-20,Trata,Abuso sexual de menores,Victima indirecta - familiar,Argentina,Buenos Aires,Lomas de Zamora,Mujer,No especifica,No,No,6.0
194,7584945505,2020-02-20,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,José Mármol,Mujer,14.0,No,No,6.0
205,5515945505,2020-02-25,Trata,"Explotación sexual, abuso sexual infantil",Victima directa,Argentina,Corrientes,Esquina,Mujer,No especifica,No,No,18.0
228,4555945505,2020-02-28,Trata,Oferta laboral engañosa,Acusado,Argentina,Buenos Aires,Buenos Aires,Hombre,No especifica,No,No,6.0
229,5555945505,2020-02-28,Trata,Oferta laboral engañosa,Acusado,Argentina,Buenos Aires,Buenos Aires,Hombre,No especifica,No,No,6.0
230,6555945505,2020-02-28,Trata,"Posible abuso sexual infantil, violencia física",Acusado,Argentina,Buenos Aires,Lanús Oeste,Hombre,No especifica,No,No,6.0
231,6555945505,2020-02-28,Trata,"Posible abuso sexual infantil, violencia física",Victima directa,Argentina,Buenos Aires,Lanús Oeste,Hombre,11.0,No,No,6.0
236,1565945505,2020-02-29,Trata,Problemas de salud mental,Victima directa,Argentina,Río Negro,San Carlos de Bariloche,Hombre,20.0,No,No,62.0
237,7565945505,2020-03-01,Trata,Posible captación,Acusado,Argentina,Mendoza,Rodeo de la Cruz,Mujer,No especifica,No,No,50.0
238,8484055505,2020-03-03,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Guernica,Mujer,14.0,Si,No,6.0
241,584055505,2020-03-03,Trata,Publicidad de oferta sexual,Victima directa,Argentina,Buenos Aires,La Plata,Mujer,No especifica,No,No,6.0
246,3584055505,2020-03-03,Trata,Explotación laboral,Victima directa,Argentina,Misiones,Cerro Azul,Hombre,No especifica,No,No,54.0
272,5555055505,2020-03-09,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Libertad,Transexual,No especifica,No,No,6.0
275,1565055505,2020-03-10,Trata,Explotación laboral,Acusado,Bolivia,Buenos Aires,Del Viso,Hombre,No especifica,No,No,6.0
292,3594155505,2020-03-12,Trata,Explotación sexual,Victima directa,Argentina,Santa Fe,Santa Fe,Mujer,No especifica,No,No,82.0
296,505155505,2020-03-13,Trata,Explotación sexual,Victima directa,Paraguay,Buenos Aires,Bahía Blanca,Mujer,60.0,No,No,6.0
300,4505155505,2020-03-13,Trata,"Ofrecimiento, violencia intrafamiliar",Victima directa,Argentina,Misiones,Posadas,Mujer,14.0,No,No,54.0
301,4505155505,2020-03-13,Trata,"Ofrecimiento, violencia intrafamiliar",Acusado,Argentina,Misiones,Posadas,Mujer,45.0,No,No,54.0
302,4505155505,2020-03-13,Trata,"Ofrecimiento, violencia intrafamiliar",Acusado,Argentina,Misiones,Posadas,Hombre,30.0,No,No,54.0
303,4505155505,2020-03-13,Trata,"Ofrecimiento, violencia intrafamiliar",Victima indirecta - familiar,Argentina,Misiones,Posadas Posadas,Mujer,16.0,No,No,54.0
304,4505155505,2020-03-13,Trata,"Ofrecimiento, violencia intrafamiliar",Victima indirecta - familiar,Argentina,Misiones,Posadas,Mujer,No especifica,No,No,54.0
305,4505155505,2020-03-13,Trata,"Ofrecimiento, violencia intrafamiliar",Victima indirecta - familiar,Argentina,Misiones,Posadas,Mujer,No especifica,No,No,54.0
306,4505155505,2020-03-13,Trata,"Ofrecimiento, violencia intrafamiliar",Victima indirecta - familiar,Argentina,Misiones,Posadas,Mujer,11.0,No,No,54.0
325,3535155505,2020-03-17,Trata,Violencia familiar,Victima directa,Argentina,Santa Fe,Santa Fe,Hombre,27.0,No,No,82.0
328,3545155505,2020-03-18,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,Ranelagh,Mujer,No especifica,No,No,6.0
329,3545155505,2020-03-18,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Ranelagh,Hombre,No especifica,No,No,6.0
343,5575255505,2020-04-04,Trata,Datos falsos,Victima directa,Venezuela,Buenos Aires,Paso del Rey,Mujer,32.0,No,No,6.0
348,8415355505,2020-04-07,Trata,Servidumbre doméstica,Victima directa,Paraguay,Buenos Aires,Caseros,Mujer,57.0,No,No,6.0
355,3525355505,2020-04-08,Trata,Estupro,Victima directa,Argentina,Buenos Aires,Mar del Tuyú,Hombre,17.0,No,No,6.0
358,6535355505,2020-04-10,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Libertad,Transexual,43.0,No,No,6.0
367,3584455505,2020-04-16,Trata,Salud - vacunación antigripal,Victima indirecta - familiar,Argentina,Entre Ríos,Concordia,Mujer,70.0,No,No,30.0
368,594455505,2020-04-16,Trata,Explotación sexual,Victima directa,Argentina,Salta,Cerrillos,Mujer,No especifica,No,No,66.0
373,8465155505,2020-03-21,Trata,Oferta laboral engañosa,Victima directa,Argentina,Corrientes,Paso de los Libres,Mujer,15.0,No,No,18.0
375,8405255505,2020-03-23,Trata,Privacion ilegitima de la libertad,Victima directa,Argentina,Buenos Aires,Pergamino,Mujer,No especifica,No,No,6.0
376,2545255505,2020-03-30,Trata,Ofrecimiento,Victima directa,Argentina,Córdoba,Villa Carlos Paz,Mujer,67.0,No,No,14.0
391,6515455505,2020-04-19,Trata,"Explotación sexual, covid 19",Victima directa,Paraguay,Buenos Aires,La Plata,Mujer,No especifica,No,No,6.0
404,1545455505,2020-04-21,Trata,Abuso sexual infantil,Victima directa,Argentina,Buenos Aires,San Nicolás de Los Arroyos,Mujer,6.0,No,No,6.0
405,1545455505,2020-04-21,Trata,Abuso sexual infantil,Victima directa,Argentina,Buenos Aires,San Nicolás de Los Arroyos,Mujer,12.0,No,No,6.0
406,1545455505,2020-04-21,Trata,Abuso sexual infantil,Victima directa,Argentina,Buenos Aires,San Nicolás de Los Arroyos,Mujer,13.0,No,No,6.0
408,1545455505,2020-04-21,Trata,Abuso sexual infantil,Victima indirecta - familiar,Argentina,Buenos Aires,San Nicolás de Los Arroyos,Mujer,No especifica,No,No,6.0
430,515555505,2020-04-28,Trata,Explotación sexual,Acusado,Argentina,Santa Fe,San Lorenzo,Hombre,52.0,No,No,82.0
431,515555505,2020-04-28,Trata,Explotación sexual,Victima indirecta - familiar,Argentina,Entre Ríos,Concordia,Mujer,12.0,No,No,30.0
448,2535555505,2020-04-29,Trata,Explotación laboral,Victima directa,Argentina,Formosa,Villa Escobar,Mujer,No especifica,No,No,34.0
467,594655505,2020-05-07,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Banfield,Mujer,No especifica,No,No,6.0
470,3505655505,2020-05-10,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,González Catán,Mujer,21.0,No,No,6.0
471,3505655505,2020-05-10,Trata,Persona desaparecida,Acusado,Argentina,Buenos Aires,González Catán,Hombre,21.0,No,No,6.0
497,2575655505,2020-05-17,Trata,Posible captación,Victima directa,Argentina,Formosa,Formosa,Mujer,21.0,No,No,34.0
504,9494755505,2020-05-19,Trata,"Explotación laboral, reducción a la servidumbre o situaciones análogas",Imputado,Argentina,Buenos Aires,General Rodriguez,Mujer,No especifica,No,No,6.0
505,3594755505,2020-05-19,Trata,Explotación laboral,Acusado,Argentina,Buenos Aires,General Rodriguez,Mujer,No especifica,No,No,6.0
506,8405755505,2020-05-19,Trata,Explotación sexual,Victima directa,Paraguay,Buenos Aires,Olivos,Mujer,30.0,No,No,6.0
510,8415755505,2020-05-20,Trata,Otro,Victima directa,Argentina,Catamarca,San Antonio,Mujer,8.0,No,No,10.0
511,8415755505,2020-05-20,Trata,Otro,Victima directa,Argentina,Catamarca,San Antonio,Mujer,No especifica,No,No,10.0
512,8415755505,2020-05-20,Trata,Otro,Acusado,Argentina,Catamarca,San Antonio,Hombre,No especifica,No,No,10.0
513,8425755505,2020-05-21,Trata,Explotación sexual,Acusado,Paraguay,Buenos Aires,Buenos Aires,Mujer,50.0,No,No,6.0
514,1594655505,2020-05-07,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Paraguay,Buenos Aires,Buenos Aires,Mujer,50.0,No,No,6.0
515,7525755505,2020-05-23,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Gregorio de Laferrere,Mujer,21.0,No,No,6.0
518,8435755505,2020-05-23,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Gregorio de Laferrere,Mujer,No especifica,No,No,6.0
522,8445755505,2020-05-24,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,San Martín,Mujer,15.0,No,No,6.0
526,4545755505,2020-05-25,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,San Martín,Mujer,15.0,No,No,6.0
527,5545755505,2020-05-25,Trata,Posible captación,Acusado,Argentina,Buenos Aires,Tandil,Mujer,No especifica,No,No,6.0
554,3505846505,2020-06-02,Trata,"Explotación sexual, persona desaparecida",Victima indirecta - familiar,Argentina,Tierra del Fuego,Río Grande,Mujer,61.0,No,No,94.0
563,2515846505,2020-06-04,Trata,Explotación laboral,Acusado,Argentina,Entre Ríos,San Jose de Feliciano,Mujer,No especifica,No,No,30.0
572,545846505,2020-06-06,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Tucumán,Santa Ana,Hombre,40.0,No,No,90.0
573,545846505,2020-06-06,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Tucumán,Santa Ana,Mujer,16.0,No,No,90.0
574,545846505,2020-06-06,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Tucumán,Santa Ana,Mujer,17.0,No,No,90.0
588,4505946505,2020-06-18,Trata,Pornografía infantil,Imputado,Argentina,Buenos Aires,Verónica,Hombre,19.0,No,No,6.0
613,9415845505,2020-02-11,Trata,Oferta laboral engañosa,Victima directa,Argentina,Buenos Aires,Villa Luzuriaga,Hombre,No especifica,No,No,6.0
614,9415845505,2020-02-11,Trata,Oferta laboral engañosa,Victima indirecta - familiar,Argentina,Buenos Aires,Villa Luzuriaga,Mujer,No especifica,No,No,6.0
619,6535946505,2020-06-24,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,San Miguel,Transexual,No especifica,No,No,6.0
621,2545946505,2020-06-25,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Paraguay,Buenos Aires,Morón,Mujer,No especifica,No,No,6.0
622,4545946505,2020-06-25,Trata,"Explotación laboral niñas, niños y adolescentes",Victima directa,Argentina,Buenos Aires,Berazategui,Mujer,No especifica,No,No,6.0
626,6545946505,2020-06-25,Trata,Oferta laboral engañosa,Victima directa,Peru,Mendoza,Guaymallén,Mujer,No especifica,No,No,50.0
632,5565946505,2020-06-28,Trata,Grooming,Victima directa,Argentina,Buenos Aires,Los Cardales,Mujer,14.0,No,No,6.0
640,6575946505,2020-06-30,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,San Miguel,Transexual,No especifica,No,No,6.0
642,584056505,2020-07-01,Trata,Explotación sexual,Acusado,Argentina,Córdoba,salsipuedes,Hombre,No especifica,No,No,14.0
654,9415056505,2020-07-05,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Santa Fe,Santa Fe,Mujer,15.0,No,No,82.0
666,1535056505,2020-07-09,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Córdoba,Villa Allende,Mujer,50.0,No,No,14.0
678,8465056505,2020-07-16,Trata,Explotación sexual,Victima directa,Brasil,Tierra del Fuego,Rio Grande,Mujer,No especifica,No,No,94.0
679,8465056505,2020-07-16,Trata,Explotación sexual,Acusado,Argentina,Tierra del Fuego,Tolhuin,Hombre,No especifica,No,No,94.0
680,3565056505,2020-07-17,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,Mar del Plata,Mujer,23.0,No,No,6.0
681,5565056505,2020-07-17,Trata,Explotación laboral,Acusado,Chile,Tierra del Fuego,Río Grande,Hombre,No especifica,No,No,94.0
699,6584156505,2020-07-21,Trata,Explotación sexual,Victima directa,Argentina,Córdoba,Río Cuarto,Mujer,33.0,No,No,14.0
700,6584156505,2020-07-21,Trata,Explotación sexual,Victima directa,Argentina,Córdoba,Río Cuarto,Mujer,40.0,No,No,14.0
710,9415156505,2020-07-24,Trata,Robo de identidad,Acusado,Argentina,Santa Fe,Rafaela,Mujer,19.0,No,No,82.0
712,4515156505,2020-07-25,Trata,Explotación laboral,Acusado,Argentina,Buenos Aires,Melchor Romero,Mujer,No especifica,No,No,6.0
716,9425156505,2020-07-26,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,Florencio Varela,Mujer,21.0,No,No,6.0
717,9425156505,2020-07-26,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Florencio Varela,Mujer,39.0,No,No,6.0
718,525156505,2020-07-26,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,Florencio Varela,Mujer,21.0,No,No,6.0
719,525156505,2020-07-26,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Florencio Varela,Mujer,39.0,No,No,6.0
720,2535156505,2020-07-28,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Mendoza,Godoy Cruz,Hombre,50.0,No,No,50.0
748,505256505,2020-08-02,Trata,Oferta laboral engañosa,Acusado,Argentina,Río Negro,Las Grutas,Hombre,No especifica,No,No,62.0
749,4505256505,2020-08-02,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Misiones,San Javier,Mujer,43.0,No,No,54.0
750,4505256505,2020-08-02,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Misiones,San Javier,Mujer,14.0,No,No,54.0
751,6505256505,2020-08-02,Trata,Explotación sexual,Victima directa,Argentina,Neuquén,Neuquén,Hombre,24.0,No,No,58.0
770,6545256505,2020-08-05,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,Avellaneda,Mujer,No especifica,No,No,6.0
772,1555256505,2020-08-05,Trata,Venta de niños y otros delitos,Victima directa,Argentina,Tucumán,ALDERETE,Mujer,32.0,No,No,90.0
775,5565256505,2020-08-07,Trata,Otro,Acusado,Argentina,Chubut,Comodoro Rivadavia,Hombre,42.0,No,No,26.0
776,5565256505,2020-08-07,Trata,Otro,Victima indirecta - familiar,Bolivia,Chubut,Comodoro Rivadavia,Mujer,No especifica,No,No,26.0
780,4575256505,2020-08-07,Trata,Explotación sexual,Victima directa,Argentina,Neuquén,Neuquén,Hombre,No especifica,No,No,58.0
784,4594356505,2020-08-09,Trata,Abuso sexual infantil,Acusado,Argentina,Chubut,Comodoro Rivadavia,Hombre,No especifica,No,No,26.0
785,4594356505,2020-08-09,Trata,Abuso sexual infantil,Victima indirecta - familiar,Bolivia,Chubut,Comodoro Rivadavia,Mujer,No especifica,No,No,26.0
790,6505356505,2020-08-11,Trata,Explotación laboral,Victima directa,Paraguay,Buenos Aires,Ciudad Autónoma de Buenos Aires Ciudad Autónoma de Buenos Aires,Mujer,35.0,No,No,6.0
794,9415356505,2020-08-11,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Tucumán,El Bañado,Hombre,50.0,No,No,90.0
795,9415356505,2020-08-11,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Tucumán,Tafí del Valle,Mujer,43.0,No,No,90.0
796,9415356505,2020-08-11,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Tucumán,Tafí del Valle,Hombre,20.0,No,No,90.0
799,5525356505,2020-08-12,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Buenos Aires,Del Viso,Mujer,40.0,No,No,6.0
813,5505456505,2020-08-16,Trata,Explotación sexual,Acusado,Paraguay,Buenos Aires,Caseros,Mujer,No especifica,No,No,6.0
814,2515456505,2020-08-17,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Esteban Echeverría,Mujer,No especifica,No,No,6.0
815,7515456505,2020-08-17,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Esteban Echeverría,Mujer,No especifica,No,No,6.0
821,8455456505,2020-08-18,Trata,Venta de niños y otros delitos,Acusado,Peru,Buenos Aires,Ciudad Autónoma de Buenos Aires,Hombre,No especifica,No,No,6.0
822,9455456505,2020-08-18,Trata,Explotación sexual,Victima directa,Paraguay,Buenos Aires,José León Suárez,Mujer,38.0,No,No,6.0
823,9455456505,2020-08-18,Trata,Explotación sexual,Acusado,Paraguay,Buenos Aires,Cuartel V,Hombre,50.0,No,No,6.0
827,5555456505,2020-08-18,Trata,Venta de niños y otros delitos,Acusado,Peru,Buenos Aires,Ciudad Autónoma de Buenos Aires,Hombre,No especifica,No,No,6.0
834,1575456505,2020-08-19,Trata,Explotación sexual,Victima directa,Paraguay,Buenos Aires,José León Suárez,Mujer,No especifica,No,No,6.0
835,1575456505,2020-08-19,Trata,Explotación sexual,Acusado,Paraguay,Buenos Aires,Cuartel V,Hombre,No especifica,No,No,6.0
839,1584556505,2020-08-20,Trata,"Explotación laboral niñas, niños y adolescentes",Victima directa,Argentina,Tucumán,ALBERDI,Hombre,17.0,No,No,90.0
840,1584556505,2020-08-20,Trata,"Explotación laboral niñas, niños y adolescentes",Victima directa,Argentina,Tucumán,ALBERDI,Hombre,16.0,No,No,90.0
846,2515556505,2020-08-21,Trata,Intento de secuestro,Victima directa,Argentina,Río Negro,El Bolsón,Mujer,14.0,No,No,62.0
855,2575556505,2020-08-23,Trata,Otro,Victima directa,Argentina,Santa Fe,Lanteri,Mujer,11.0,No,No,82.0
856,2575556505,2020-08-23,Trata,Otro,Acusado,Argentina,Santa Fe,Lanteri,Hombre,19.0,No,No,82.0
867,3525656505,2020-08-25,Trata,Explotación sexual,Victima directa,Argentina,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,21.0,No,No,2.0
872,9445656505,2020-08-26,Trata,Explotación sexual,Victima directa,Argentina,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,No especifica,No,No,2.0
880,3555656505,2020-08-26,Trata,Persona desaparecida,Victima directa,Argentina,Misiones,Puerto Iguazú,Mujer,No especifica,No,No,54.0
881,3555656505,2020-08-26,Trata,Persona desaparecida,Acusado,Argentina,Misiones,Puerto Iguazú,Hombre,No especifica,No,No,54.0
894,8435756505,2020-08-30,Trata,Explotación sexual,Victima directa,Argentina,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,No especifica,No,No,2.0
896,1545756505,2020-08-31,Trata,Explotación sexual,Victima directa,Argentina,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,No especifica,No,No,2.0
934,5525057505,2020-09-13,Trata,Intento de secuestro,Victima directa,Argentina,Buenos Aires,Cuartel V,Mujer,17.0,No,No,6.0
935,5525057505,2020-09-13,Trata,Intento de secuestro,Victima indirecta - familiar,Argentina,Buenos Aires,Cuartel V,Mujer,No especifica,No,No,6.0
963,9455157505,2020-09-18,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Misiones,San Javier,Mujer,No especifica,No,No,54.0
964,9455157505,2020-09-18,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Misiones,San Javier,Mujer,No especifica,No,No,54.0
971,6515257505,2020-09-22,Trata,Privación ilegítima de la libertad,Victima directa,Venezuela,Buenos Aires,La Matanza,Mujer,25.0,No,No,6.0
976,5565257505,2020-09-24,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Buenos Aires,Del Viso,Mujer,No especifica,No,No,6.0
